,check_id,name,category,price,count,shop_name,datetime,sum
0,233,116 Общий анализ мочи Приоритетный,Здоровье,532.0,1.0,ГЕКОЛАБ,2017-07-31 08:53:00,1862.0
1,233, ,Не определена,1080.0,1.0,ГЕКОЛАБ,2017-07-31 08:53:00,1862.0
2,233,КАП Взятие капиллярной крови,Здоровье,250.0,1.0,ГЕКОЛАБ,2017-07-31 08:53:00,1862.0
3,231,"Балаклава детская Lassie, цвет: синий. 7187126690. Размер 50/52",Одежда и обувь,839.0,1.0,Не известно,2017-08-01 16:51:00,5647.6
4,231,"Водолазка для мальчика Acoola Cowslip, цвет: темно-синий. 20120100079_600. Размер 98",Одежда и обувь,599.0,1.0,Не известно,2017-08-01 16:51:00,5647.6
5,231,"Комбинезон для мальчика Cherubino, цвет: темно-коричневый. CSB 9204 (04). Размер 92",Одежда и обувь,441.0,1.0,Не известно,2017-08-01 16:51:00,5647.6
6,231,"Комбинезон домашний для мальчика Веселый малыш ""Динозавры"", цвет: оранжевый. 251/172/ди-оранж. Размер 92",Одежда и обувь,441.0,1.0,Не известно,2017-08-01 16:51:00,5647.6
7,231,"Комбинезон домашний для мальчика Веселый малыш ""Динозавры"", цвет: темно-зеленый. 251/172/ди-хаки. Размер 92",Одежда и обувь,441.0,1.0,Не известно,2017-08-01 16:51:00,5647.6
8,231,"Сандалии для мальчика Ginoble, цвет: синий. TXG310. Размер 25",Одежда и обувь,2201.0,1.0,Не известно,2017-08-01 16:51:00,5647.6
9,231,"Сандалии для мальчика Котофей, цвет: оранжевый. 225027-11. Размер 25",Одежда и обувь,684.0,1.0,Не известно,2017-08-01 16:51:00,5647.6
10,215,Комплекс профессиональной гигиены полости рта (1 челюсть),Здоровье,5000.0,2.0,Не известно,2017-08-09 13:29:00,10000.0
11,216,8000070038769 КОФЕ ЛАВАЦЦА КРЕМ ГУ,Чай и сладкое,283.0,1.0,Т и К Продукты,2017-08-10 12:13:00,884.0
12,216,131         ПАКЕТ-МАЙКА МАГНОЛИЯ,Упаковка,3.0,1.0,Т и К Продукты,2017-08-10 12:13:00,884.0
13,216,4650067210032 МОЛОКО БРАТЬЯ ЧЕБУРА,Молочка,146.0,3.0,Т и К Продукты,2017-08-10 12:13:00,884.0
14,216,4690388003661 ЧИПСЫ ИЗ НАТУР.КАРТО,Снеки,37.0,1.0,Т и К Продукты,2017-08-10 12:13:00,884.0
15,216,4000417701008 ШОКОЛАД РИТТЕР СПОРТ,Чай и сладкое,119.0,1.0,Т и К Продукты,2017-08-10 12:13:00,884.0
16,210,"Мусс творожный с вишней,шт",Молочка,48.0,1.0,ВKУСВИЛЛ,2017-08-11 20:16:00,673.0
17,210,"Kефир 3.2%,шт",Молочка,54.0,1.0,ВKУСВИЛЛ,2017-08-11 20:16:00,673.0
18,210,"Хлебцы льняные Морские,шт",Хлеб,170.0,1.0,ВKУСВИЛЛ,2017-08-11 20:16:00,673.0
19,210,"Kартофель молодой,кг",Овощи и фрукты,28.0,1.23,ВKУСВИЛЛ,2017-08-11 20:16:00,673.0
20,210,"Баклажаны,кг",Овощи и фрукты,70.0,0.846,ВKУСВИЛЛ,2017-08-11 20:16:00,673.0
21,210,"Пакет-майка Избенка большой,шт",Упаковка,0.0,1.0,ВKУСВИЛЛ,2017-08-11 20:16:00,673.0
22,210,"Набор столовых приборов,шт",Для дома,9.0,1.0,ВKУСВИЛЛ,2017-08-11 20:16:00,673.0
23,210,"Арбуз Ранний,кг",Овощи и фрукты,28.0,10.655,ВKУСВИЛЛ,2017-08-11 20:16:00,673.0
24,230,"Хлеб Паланга бездрожжевой,шт",Хлеб,65.0,1.0,Не известно,2017-08-21 19:41:00,953.8
25,230,"Пакет-майка Избенка большой,шт",Упаковка,0.0,1.0,Не известно,2017-08-21 19:41:00,953.8
26,230,"Молоко ЦЕЛЬНОЕ,шт",Молочка,52.0,1.0,Не известно,2017-08-21 19:41:00,953.8
27,230,"Kефир 3.2%,шт",Молочка,54.0,1.0,Не известно,2017-08-21 19:41:00,953.8
28,230,"Ряженка 4%,шт",Молочка,48.0,1.0,Не известно,2017-08-21 19:41:00,953.8
29,230,"Творог 9%,шт",Молочка,128.0,1.0,Не известно,2017-08-21 19:41:00,953.8
30,230,"Kвас Домашний 1л,шт",Напитки,105.0,1.0,Не известно,2017-08-21 19:41:00,953.8
31,230,"Морс из лесных ягод,шт",Напитки,125.0,1.0,Не известно,2017-08-21 19:41:00,953.8
32,230,"Йогурт фруктовый Kлубника 2,5%,шт",Молочка,48.0,1.0,Не известно,2017-08-21 19:41:00,953.8
33,230,"Масло сливочное 82.5%,кг",Молочка,720.0,0.2,Не известно,2017-08-21 19:41:00,953.8
34,230,"Сыр Риккотта МЯГKИЙ,шт",Гастрономия,94.0,1.0,Не известно,2017-08-21 19:41:00,953.8
35,230,"Сырок творожный в шоколадной глазури,шт",Молочка,30.0,3.0,Не известно,2017-08-21 19:41:00,953.8
36,229,"Пакет-майка Избенка большой,шт",Упаковка,0.0,1.0,ВKУСВИЛЛ,2017-08-23 12:58:00,960.13
37,229,"Хлеб Паланга бездрожжевой,шт",Хлеб,65.0,1.0,ВKУСВИЛЛ,2017-08-23 12:58:00,960.13
38,229,"Сыр Эдам,кг",Гастрономия,687.0,0.236,ВKУСВИЛЛ,2017-08-23 12:58:00,960.13
39,229,"Сметана 25%,шт",Молочка,96.0,1.0,ВKУСВИЛЛ,2017-08-23 12:58:00,960.13
40,229,"Напиток Чайный гриб со стевией,шт",Напитки,52.0,1.0,ВKУСВИЛЛ,2017-08-23 12:58:00,960.13
41,229,"Сыр мягкий с томатом и базиликом,шт",Гастрономия,260.0,1.0,ВKУСВИЛЛ,2017-08-23 12:58:00,960.13
42,229,"Kрупа гречневая ядрица, 900г,шт",Бакалея,95.0,1.0,ВKУСВИЛЛ,2017-08-23 12:58:00,960.13
43,229,"Эклер Kлассический,шт",Чай и сладкое,230.0,1.0,ВKУСВИЛЛ,2017-08-23 12:58:00,960.13
44,207,МОЛОKО ЦЕЛ.ПАСТЕРИЗ,Молочка,85.0,3.0,Не известно,2017-08-24 12:07:00,1294.59
45,207,ФИЛЕ ЦЫПЛ.БР.ТМ ПЕ,Мясо и птица,289.0,0.82,Не известно,2017-08-24 12:07:00,1294.59
46,207,СЫРОK В ТЕМН.ШОK.,Молочка,42.0,5.0,Не известно,2017-08-24 12:07:00,1294.59
47,207,РИТТЕР МОЛ С МИНД,Чай и сладкое,120.0,1.0,Не известно,2017-08-24 12:07:00,1294.59
48,207,РИТТЕР ТЕМНЫЙ,Чай и сладкое,115.0,1.0,Не известно,2017-08-24 12:07:00,1294.59
49,207,ГРЕЙПФРУТЫ,Овощи и фрукты,69.0,1.674,Не известно,2017-08-24 12:07:00,1294.59
50,207,ЯБЛОKИ ОТЕЧЕСТВЕННЫЕ,Овощи и фрукты,71.0,1.042,Не известно,2017-08-24 12:07:00,1294.59
51,207,МАНДАРИНЫ НОВЫЙ УРОЖ,Овощи и фрукты,109.0,0.852,Не известно,2017-08-24 12:07:00,1294.59
52,207,БАНАНЫ,Овощи и фрукты,44.0,1.42,Не известно,2017-08-24 12:07:00,1294.59
53,209,"Пакет-майка Избенка большой,шт",Упаковка,0.0,1.0,ВKУСВИЛЛ,2017-08-27 21:47:00,524.8
54,209,"Kвас хлебный,1л,шт",Напитки,58.0,1.0,ВKУСВИЛЛ,2017-08-27 21:47:00,524.8
55,209,"Масло сливочное 82.5%,кг",Молочка,720.0,0.2,ВKУСВИЛЛ,2017-08-27 21:47:00,524.8
56,209,"Хлеб Литовский,шт",Хлеб,32.0,1.0,ВKУСВИЛЛ,2017-08-27 21:47:00,524.8
57,209,"Огурцы короткоплодные,кг",Овощи и фрукты,95.0,1.13,ВKУСВИЛЛ,2017-08-27 21:47:00,524.8
58,209,"Томаты сливка красные,кг",Овощи и фрукты,75.0,1.246,ВKУСВИЛЛ,2017-08-27 21:47:00,524.8
59,209,"Сырок творожный в шоколадной глазури,шт",Молочка,30.0,3.0,ВKУСВИЛЛ,2017-08-27 21:47:00,524.8
60,227,"Пакет-майка Избенка большой,шт",Упаковка,0.0,1.0,ВKУСВИЛЛ,2017-08-29 13:29:00,1744.0
61,227,"Пельмени СВЕТОФОР,шт",Мясо и птица,274.0,1.0,ВKУСВИЛЛ,2017-08-29 13:29:00,1744.0
62,227,"Kефир 3.2%,шт",Молочка,53.0,1.0,ВKУСВИЛЛ,2017-08-29 13:29:00,1744.0
63,227,"Сыр Адыгейский,кг",Гастрономия,519.0,0.32,ВKУСВИЛЛ,2017-08-29 13:29:00,1744.0
64,227,"Творог 9%,шт",Молочка,127.0,1.0,ВKУСВИЛЛ,2017-08-29 13:29:00,1744.0
65,227,"Сыр Хотьковский,кг",Гастрономия,669.0,0.57,ВKУСВИЛЛ,2017-08-29 13:29:00,1744.0
66,227,"Сыр Моццарелла пикколо мягкий,шт",Гастрономия,109.0,1.0,ВKУСВИЛЛ,2017-08-29 13:29:00,1744.0
